commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
fca6510	0.000000	0.0	crash	WINDOW_PATTERN SSSL to LLSL	1.000	BREAK	δ=1.0 BREAK; run incomplete (no val_bpb in run.log; Muon stall ~131s at step 56 then aborted); reset 826c359
c40f55b	1.560910	11.4	discard	sqrt Muon momentum ramp step/400 vs linear	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; run.log had two summaries used last; reset 826c359
e67acc6	1.875922	11.4	discard	ve_gate_channels 32 to 64	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; run stalled ~27 steps; reset 826c359
36d9f3f	1.853185	11.4	discard	TOTAL_BATCH_SIZE 2**19 to 2**20 (~1M tok/step)	1.000	BREAK	δ=1.0 BREAK; WSL Muon ~132s stalls grad_accum 16 only ~29 steps val_bpb worse than 1.080227; reset 826c359
00644a8	1.380890	11.4	discard	enable CUDA matmul and cudnn TF32	1.000	BREAK	δ=1.0 BREAK; run_tf32.log ~86 steps Muon stalls val_bpb worse than 1.080227; reset 826c359
98927b0	1.813986	10.4	discard	parallel pre-norm block shared RMSNorm attn+MLP	1.000	BREAK	δ=1.0 BREAK; parallel block val_bpb worse than best 1.080227; reset 826c359
c7b80e3	1.686600	11.4	discard	remove logits softcap raw CE logits	1.000	BREAK	δ=1.0 BREAK; no tanh cap val_bpb worse than 1.080227; ~50 steps Muon stalls; reset 826c359
508ad11	1.676423	11.4	discard	WINDOW_PATTERN SSSL to LLSS	1.000	BREAK	δ=1.0 BREAK; more full-window early layers val_bpb worse than 1.080227; reset 826c359
f035a3d	1.838063	11.4	discard	EMBEDDING_LR 0.6 to 0.55	1.000	BREAK	δ=1.0 BREAK; lower embed Adam LR val_bpb worse than 1.080227; reset 826c359
c6fb125	1.757812	10.2	discard	DEPTH 8 to 7 (fewer layers)	1.000	BREAK	δ=1.0 BREAK; shallower model val_bpb worse than best 1.080227; reset 826c359
5654675	1.760789	11.4	discard	EMBEDDING_LR 0.6 to 0.65	1.000	BREAK	δ=1.0 BREAK; higher embed LR val_bpb worse than best 1.080227; reset 826c359
12ac551	1.760789	11.4	discard	UNEMBEDDING_LR 0.004 to 0.005	1.000	BREAK	δ=1.0 BREAK; lm_head LR bump val_bpb worse than best 1.080227; Muon stalls limited steps; reset 826c359
ded38c2	1.458769	11.4	discard	MATRIX_LR 0.04 to 0.038	1.000	BREAK	δ=1.0 BREAK; lower Muon matrix LR val_bpb worse than best 1.080227; reset 826c359
2b9a7f9	1.458769	11.4	discard	SCALAR_LR 0.5 to 0.55	1.000	BREAK	δ=1.0 BREAK; higher per-layer scalar Adam LR val_bpb worse than best 1.080227; reset 826c359
6427a82	1.790438	11.4	discard	HEAD_DIM 128 to 64 (8 heads same n_embd)	1.000	BREAK	δ=1.0 BREAK; attention head geometry; val_bpb worse than best 1.080227; reset 826c359
848f27a	1.332092	11.4	discard	MUON_BETA2 NorMuon 0.95 to 0.97	1.000	BREAK	δ=1.0 BREAK; Muon second-moment EMA sharper; val_bpb worse than best 1.080227; reset 826c359
ea9ccdb	1.817157	11.4	discard	QK RMSNorm before RoPE; remove post-RoPE QK norm	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
4e663ae	1.817157	11.4	discard	GPT-J parallel block shared pre-norm attn+MLP	1.000	BREAK	δ=1.0 BREAK; Muon stalls few steps; val_bpb worse than 1.080227; reset 826c359
45696e7	1.817157	11.4	discard	remove torch.compile on GPT forward only	1.000	BREAK	δ=1.0 BREAK; still ~61 steps Muon stalls; val_bpb same poor; reset 826c359
fe489a0	1.817157	11.4	discard	inductor triton.cudagraph_trees=False	1.000	BREAK	δ=1.0 BREAK; still ~61 steps; val_bpb unchanged; reset 826c359
b56963e	1.817157	11.4	discard	inductor triton.cudagraphs=False	1.000	BREAK	δ=1.0 BREAK; still ~61 steps; reset 826c359
6204910	1.717502	11.4	discard	eager fused Muon/AdamW (no torch.compile on optim)	1.000	BREAK	δ=1.0 BREAK; ~64 steps ~34M tok; val_bpb still worse than 1.080227; reset 826c359
d749ca8	1.607377	12.5	discard	MLP FFN expansion 4x to 5x n_embd	1.000	BREAK	δ=1.0 BREAK; wider FFN val_bpb worse than best 1.080227; reset 826c359
b425611	1.337375	13.4	discard	train-only label smoothing 0.02 (eval CE clean)	1.000	BREAK	δ=1.0 BREAK; smoothing hurt vs best 1.080227; reset 826c359
5a38e37	1.088756	12.4	discard	MLP hidden dropout 0.01 train-only	1.000	BREAK	δ=1.0 BREAK; close but val_bpb worse than best 1.080227; reset 826c359
d9d0645	1.677335	11.4	discard	x0_lambdas init 0.10 to 0.12	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
dd4ce14	1.881523	11.4	discard	MLP ReLU^2 to SiLU activation	1.000	BREAK	δ=1.0 last10 all discard; BREAK nonlinearity; val_bpb worse than best 1.080227; reset 826c359
257b88c	1.874992	11.4	discard	torch.compiler.cudagraph_mark_step_begin each step	1.000	BREAK	δ=1.0 BREAK; ~27 steps heavy overhead; val_bpb worse than best 1.080227; reset 826c359
67399a3	1.885711	11.4	discard	RoPE base 10000 to 50000	1.000	BREAK	δ=1.0 BREAK; ~26 steps compile-heavy; val_bpb worse than best 1.080227; reset 826c359
a60bf8f	1.457014	11.4	discard	Adam beta2 0.95 to 0.94	1.000	BREAK	δ=1.0 BREAK; ~74 steps (Muon ~131s stalls); val_bpb worse than best 1.080227; reset 826c359
013ff76	3.144344	11.6	discard	EMA 0.999 eval-only first attempt	1.000	BREAK	δ=1.0 BREAK; WSL few steps; val_bpb >> best 1.080227; reset 826c359
2474aef	3.090875	11.6	discard	EMA 0.999 + eager eval model _orig_mod state_dict fix	1.000	BREAK	δ=1.0 BREAK; ~77 steps Muon stalls val_bpb >> best 1.080227; reset 826c359
f8a5c96	1.844998	11.4	discard	AdamW groups eps 1e-10 to 1e-8	1.000	BREAK	δ=1.0 BREAK; ~60 steps val_bpb worse than best 1.080227; reset 826c359
0c61f78	1.341616	17.4	discard	DEPTH 8 to 10 (n_embd 640, 5 heads)	1.000	BREAK	δ=1.0 BREAK; deeper/wider; val_bpb worse than best 1.080227; reset 826c359
130e43f	1.663010	11.0	discard	GQA n_kv_head = max(1,n_head//2)	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than 1.080227; reset 826c359
67fc0b8	1.551977	11.4	discard	WINDOW_PATTERN all-L full attention	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than 1.080227; reset 826c359
a2bc8a6	1.898795	11.4	discard	logits softcap 15 to 30	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than 1.080227; reset 826c359
c0f1115	1.512007	11.4	discard	EMBEDDING_LR 0.6 to 0.72	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than 1.080227; reset 826c359
eddbaf6	1.457736	11.4	discard	sdpa_kernel CUDNN/Flash/Efficient non-FA3 SDPA	1.000	BREAK	δ=1.0 BREAK; explicit SDPA backends; val_bpb worse than best 1.080227; reset 826c359
b91f482	0.000000	0.0	crash	torch.compile reduce-overhead CUDAGraph overwrite first step	1.000	BREAK	δ=1.0 BREAK; compile mode breaks backward; incompatible without cudagraph_mark_step_begin; reset 826c359
042e77c	1.466176	11.4	discard	EMBEDDING_LR 0.58 MATRIX_LR 0.041	1.000	BREAK	δ=1.0 BREAK; paired LR shift; val_bpb worse than best 1.080227; reset 826c359
7ee7a65	1.510203	13.5	discard	SwiGLU FFN (SiLU gate*up) replaces ReLU^2 MLP	1.000	BREAK	delta=1.0 BREAK FFN swap; worse than best 1.080227; reset 826c359
457e1cb	1.731901	13.5	discard	ReGLU FFN (ReLU gate*up) replaces ReLU^2	1.000	BREAK	delta=1.0 BREAK ReGLU; worse than best 1.080227; reset 826c359
df3d6a6	0.000000	0.0	crash	drop full-model torch.compile eager run; no val_bpb in log/incomplete	1.000	BREAK	delta=1.0 BREAK; eager too slow few steps; incomplete; reset 826c359
5802ad3	1.752557	11.4	discard	MATRIX_LR 0.042 WARMDOWN_RATIO 0.38	1.000	BREAK	delta=1.0 BREAK; LR schedule shift; val worse than best 1.080227; reset 826c359
70a9c18	1.169412	12.4	discard	NormFormer RMSNorm on attn/MLP outputs before residual	1.000	BREAK	δ=1.0 BREAK; sublayer-output norm hurt vs best 1.080227; reset 826c359
1e5b131	1.462749	11.4	discard	PaLM z-loss 1e-4 on pre-softcap logits train-only	1.000	BREAK	δ=1.0 BREAK; z-loss hurt CE/val vs best 1.080227; reset 826c359
15fcf6b	1.802221	11.4	discard	AdamW wd 0.01 on wte and value_embeds only	1.000	BREAK	δ=1.0 BREAK; embed WD hurt val vs best 1.080227; reset 826c359
1c24499	1.836407	11.4	discard	WINDOW_PATTERN SSSL to SSLS	1.000	BREAK	δ=1.0 BREAK; attention window phase shift hurt vs best 1.080227; reset 826c359
6e2cd77	1.678542	6.0	discard	DEVICE_BATCH_SIZE 32 to 16 grad_accum 16 same macro batch	1.000	BREAK	δ=1.0 BREAK; noisier micro-batches + Muon stalls; val worse than 1.080227; reset 826c359
dc3e45c	1.565105	11.4	discard	Muon ns_steps 4 to 3	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0; BREAK extend ns_steps 5→4 win; val worse than best 1.080227; ~65 steps compile stalls; reset 826c359
0a0d15a	0.000000	0.0	crash	FINAL_LR_FRAC 0 to 0.12	1.000	BREAK	δ=1.0 BREAK; MCP/tool wall timeout before run finished; no val_bpb in run.log; reset 826c359
fba1252	1.601770	11.4	discard	MATRIX_LR 0.04 to 0.045	1.000	BREAK	δ=1.0 BREAK; higher Muon LR; val worse than best 1.080227; reset 826c359
a0a4a53	1.597359	11.4	discard	WINDOW_PATTERN SSSL to SLSS	1.000	BREAK	δ=1.0 last10 all discard/crash; SLSS rhythm; val worse than best 1.080227; reset 826c359
67afaaf	1.177763	12.4	discard	MLP train-only hidden dropout 0.008	1.000	BREAK	δ=1.0 BREAK; lighter reg than prior 0.01 near-miss; val worse than best 1.080227; reset 826c359
21eab18	1.822537	11.4	discard	UNEMBEDDING_LR 0.004 to 0.0045	1.000	BREAK	δ=1.0 BREAK; higher lm_head Adam LR; val much worse than best 1.080227; log dup summary lines; reset 826c359
777c5ea	0.000000	0.0	crash	WINDOW_PATTERN SSSL to LLSL (MCP tool timeout; run incomplete)	1.000	BREAK	δ=1.0 BREAK; train.log had no val_bpb before MCP wall timeout; reset 826c359
eb75b03	1.441805	11.4	discard	WINDOW_PATTERN SSSL to LLSL (completed)	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
22f087c	1.874788	11.4	discard	Muon momentum ramp 0.85-0.95 to 0.82-0.97	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
c4afdcb	1.413544	11.4	discard	WINDOW_PATTERN SSSL to LSSS (verified LSSS+FLOPs in run_iter_lsss.log)	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
9bb96cb	1.843746	12.4	discard	learnable logit_scale scalar before softcap (AdamW with lm_head)	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; Muon compile stalls limited steps; reset 826c359
b6b6012	1.843461	11.4	discard	Muon WEIGHT_DECAY 0.12 to 0.115	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
8ec4610	1.835884	11.4	discard	resid_lambdas Adam LR scalar_lr*0.011 vs 0.01	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
1584980	0.000000	0.0	crash	MLP FFN 4x to 3.5x (MCP tool timeout; run.log no val_bpb)	1.000	BREAK	δ=1.0 BREAK; WSL train killed before eval; reset 826c359
ef09420	1.641247	10.9	discard	MLP FFN 3.5x (nohup run complete)	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
3a5e914	1.451941	11.4	discard	logits softcap 15 to 14	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
03e9932	1.177323	12.4	discard	MLP train-only dropout 0.006 after c_fc	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
722c928	1.611069	11.4	discard	WARMDOWN_RATIO 0.5 to 0.48	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; log run_wd048.log; reset 826c359
b9108f9	1.447708	11.4	discard	WARMUP_RATIO 0.02; lrm=1 while progress==0	1.000	BREAK	δ=1.0 BREAK; fixes step11 lrm=0 bug; val_bpb worse than best 1.080227; reset 826c359
b3f1eef	1.549230	11.4	discard	Muon momentum ramp end 0.95 to 0.96	1.000	BREAK	δ=1.0 BREAK; val worse than best 1.080227; reset 826c359
0c08de1	1.808484	11.4	discard	RMSNorm eps 1e-5 in norm()	1.000	BREAK	δ=1.0 BREAK; val much worse than best 1.080227; reset 826c359
73452ec	1.538045	11.4	discard	logits softcap 15 to 16	1.000	BREAK	δ=1.0 BREAK; val worse than best 1.080227; reset 826c359
3dd57bd	1.883666	11.4	discard	WARMDOWN_RATIO 0.5 to 0.52 longer full-LR plateau	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; WSL Muon ~131s stalls ~26 steps; reset 826c359
00bdfa7	1.707122	11.4	discard	SCALAR_LR 0.5 to 0.45 per-layer lambda Adam	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; ~47 steps Muon stalls; reset 826c359
2d8444f	1.869173	11.4	discard	Muon momentum ramp 0.85-0.95 to 0.83-0.94	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; run_mcp_mom.log; reset 826c359
78888ff	1.607947	22.6	discard	torch.compile GPT only on Hopper SM9 non-Hopper eager	1.000	BREAK	δ=1.0 BREAK; more steps (55) but val_bpb worse than 1.080227; peak VRAM higher; run_mcp_nohop.log; reset 826c359
9295f9c	1.720419	12.4	discard	MLP hidden dropout 0.011 after c_fc	1.000	BREAK	δ=1.0 BREAK; WSL Muon ~131s stalls only ~45 steps; val_bpb >> best 1.080227; reset 826c359
ba7cdb8	1.524655	11.4	discard	RoPE base 10000 to 8000	1.000	BREAK	δ=1.0 BREAK; 65 steps WSL stalls; val_bpb worse than best 1.080227; reset 826c359
446ae7f	1.859152	11.4	discard	Muon WEIGHT_DECAY 0.12 to 0.118	1.000	BREAK	δ=1.0 BREAK; WSL ~29 steps Muon stalls; val_bpb >> 1.080227; reset 826c359
41cf57b	1.859152	11.4	discard	lm_head init std 0.001 to 0.0009	1.000	BREAK	δ=1.0 BREAK; run.log ~29 steps Muon stalls same val as prior WD run; worse than 1.080227; reset 826c359
698abc8	1.902461	11.4	discard	UNEMBEDDING_LR 0.004 to 0.0035	1.000	BREAK	δ=1.0 BREAK; Muon ~131s stalls ~24 steps val_bpb >> best 1.080227; reset 826c359
b41bbc9	1.842239	11.4	discard	Muon WD schedule floor 25pct at end	1.000	BREAK	δ=1.0 BREAK; few steps Muon stalls val_bpb >> best 1.080227; reset 826c359
a869fb8	1.529414	11.4	discard	Muon momentum ramp step/300 to step/200	1.000	BREAK	δ=1.0 BREAK; 64 steps WSL Muon stalls val_bpb >> best 1.080227; reset 826c359
ffbc6ab	1.871910	11.4	discard	VE gate input channels 32 to 40	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
79134e6	1.891132	11.4	discard	EMBEDDING_LR 0.6 to 0.62	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
5a27764	1.784176	12.5	discard	HEAD_DIM 128 to 112 (n_embd 560, 5 heads)	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; higher VRAM; reset 826c359
04453b9	0.000000	0.0	crash	Muon polar ns_steps 4 to 6 + duplicate terminal coeff	1.000	BREAK	δ=1.0 BREAK; WSL second Muon compile stall ~131s ate remaining budget; run ended ~step76 no val_bpb; reset 826c359
d01547f	1.439656	11.4	discard	x0_lambdas init 0.1 to 0.06	1.000	BREAK	δ=1.0 BREAK; weaker x0 skip path hurt val_bpb vs best 1.080227; reset 826c359
3e4d5ab	1.458383	11.4	discard	WARMDOWN_RATIO 0.5 to 0.47	1.000	BREAK	δ=1.0 BREAK; earlier LR decay vs 826c359; val_bpb worse than best 1.080227; reset 826c359
3350ae1	1.823176	11.6	discard	MLP ReLU^2 to SwiGLU (8/3*d hidden)	1.000	BREAK	delta=1.0 BREAK; val_bpb worse than best 1.080227; Muon torch.compile stalls ~131s ate budget; reset 826c359
2ac6389	1.347043	11.4	discard	MLP ReLU^2 to GELU tanh (same shapes)	1.000	BREAK	delta=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
838abda	1.708563	14.0	discard	depth 8 to 10, ASPECT_RATIO 64 to 51	1.000	BREAK	delta=1.0 BREAK; val_bpb worse than 1.080227; slower steps fewer tokens; reset 826c359
41e1dea	1.912321	11.0	discard	Post-LN blocks (norm after attn/MLP residual)	1.000	BREAK	δ=1.0 BREAK; structural shift; val_bpb >> best 1.080227; reset 826c359
7b5b886	1.341352	11.4	discard	RoPE inverse-frequency base 10k to 12k	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
98f65ac	1.445902	11.4	discard	WINDOW_PATTERN SSSL to SLLS	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
388a3f2	1.237430	11.4	discard	cuda matmul allow_tf32 True (isolated)	1.000	BREAK	δ=1.0 BREAK; val_bpb worse than best 1.080227; reset 826c359
